Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium46949	DnaJ C terminal domain
Symbiodinium8488	Belongs to the protein kinase superfamily
Symbiodinium30474	membrane protein terC
Symbiodinium48100	Belongs to the DHHC palmitoyltransferase family
Symbiodinium31496	Dpy-30 motif
Symbiodinium50324	Ion transport protein
Symbiodinium40362	RNA uridylyltransferase activity
Symbiodinium54245	alcohol dehydrogenase
Symbiodinium54604	3',5'-cyclic-nucleotide phosphodiesterase activity
Symbiodinium53922	Phosphoglycerate mutase family
Symbiodinium20654	Mpv17 / PMP22 family
Symbiodinium39274	TatD related DNase
Symbiodinium7541	synthase
Symbiodinium37784	Belongs to the ClpA ClpB family
Symbiodinium22636	Beta-Casp domain
Symbiodinium18765	Protein kinase, cGMP-dependent, type I
Symbiodinium29046	structural constituent of ribosome
Symbiodinium21578	SNF2 RAD54 helicase family protein
Symbiodinium29140	pre-mRNA processing factor 3 (PRP3)
Symbiodinium53120	Enoyl-CoA hydratase
Symbiodinium32390	Belongs to the class-I aminoacyl-tRNA synthetase family
Symbiodinium12256	FHA domain
Symbiodinium20137	protein serine/threonine kinase activity
Symbiodinium7329	Pumilio-family RNA binding repeat
Symbiodinium45745	phosphorylase kinase activity
Symbiodinium35588	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium23807	cysteine desulfurase activity
Symbiodinium41244	Modified RING finger domain
Symbiodinium46193	Peptidase family C69
Symbiodinium20293	demethylase 8
Symbiodinium29669	cobalamin synthesis CobW domain protein
Symbiodinium33911	transporter
Symbiodinium40176	calcium ion homeostasis
Symbiodinium35645	SUMO activating enzyme activity
Symbiodinium48472	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
Symbiodinium56681	DNA replication proofreading
Symbiodinium22589	methyltransferase activity
Symbiodinium27970	Activating signal cointegrator 1 complex subunit 3 family 1 ASCC3L1
Symbiodinium15972	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
Symbiodinium48115	heat shock protein binding
Symbiodinium48745	Indigoidine synthase A like protein
Symbiodinium35678	Protein kinase domain
Symbiodinium5503	adenylate kinase activity
Symbiodinium26056	ribosomal small subunit assembly
Symbiodinium50364	Calcium calmodulin-dependent protein kinase
Symbiodinium28146	III protein, CoA-transferase family
Symbiodinium10890	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium33743	Acetate kinase
Symbiodinium17173	Belongs to the eukaryotic ribosomal protein eS21 family
Symbiodinium47272	Nuclear inhibitor of protein phosphatase 1
Symbiodinium41494	protein serine/threonine kinase activity
Symbiodinium38540	IMP dehydrogenase / GMP reductase domain
Symbiodinium36004	Alpha/beta hydrolase family
Symbiodinium52449	tRNA (Guanine-1)-methyltransferase
Symbiodinium49667	carboxylic ester hydrolase activity
Symbiodinium24816	guanylate kinase
Symbiodinium47672	Stress-induced-phosphoprotein 1 (Hsp70 Hsp90-organizing protein)
Symbiodinium27586	Belongs to the group II decarboxylase family
Symbiodinium44467	TspO/MBR family
Symbiodinium23398	Belongs to the peptidase M24B family
Symbiodinium6994	tRNA adenylyltransferase
Symbiodinium50096	Histidine kinase-like ATPases
Symbiodinium32894	p25-alpha
Symbiodinium30148	thioesterase 13
Symbiodinium71546	60S ribosomal protein
Symbiodinium46158	of PP-loop superfamily
Symbiodinium42197	Belongs to the protein kinase superfamily
Symbiodinium37124	EF-hand domain
Symbiodinium20271	Dual specificity phosphatase, catalytic domain
Symbiodinium9326	metalloendopeptidase activity
Symbiodinium41922	protein serine/threonine phosphatase activity
Symbiodinium8303	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability. Efficiently unwinds G-quadruplex (G4) DNA structures and forked RNA-DNA hybrids. Resolves G4 structures, preventing replication pausing and double-strand breaks (DSBs) at G4 motifs. Involved in the maintenance of telomeric DNA. Inhibits telomere elongation, de novo telomere formation and telomere addition to DSBs via catalytic inhibition of telomerase. Reduces the processivity of telomerase by displacing active telomerase from DNA ends. Releases telomerase by unwinding the short telomerase RNA telomeric DNA hybrid that is the intermediate in the telomerase reaction. Possesses an intrinsic strand annealing activity
Symbiodinium36721	Yip1 domain
Symbiodinium7843	Fatty acid desaturase
Symbiodinium47450	acyl-CoA hydrolase activity
Symbiodinium28527	Domain of unknown function (DUF4201)
Symbiodinium46237	ABC1 family
Symbiodinium44494	66 kDa stress
Symbiodinium32000	tryptophan synthase activity
Symbiodinium8997	Domain of unknown function (DUF4743)
Symbiodinium42868	Fatty acid desaturase
Symbiodinium7919	Adenylate kinase
Symbiodinium9000	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium24700	Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme
Symbiodinium42845	Brefeldin A-inhibited guanine nucleotide-exchange protein
Symbiodinium28164	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Symbiodinium49901	DSBA-like thioredoxin domain
Symbiodinium35953	Belongs to the DEAD box helicase family
Symbiodinium39982	biotin synthase activity
Symbiodinium39185	FOP N terminal dimerisation domain
Symbiodinium25571	oxidation-reduction process
Symbiodinium28815	Belongs to the peptidase M16 family
Symbiodinium55579	Methyltransferase implicated in translation
Symbiodinium35693	diacylglycerol kinase activity
Symbiodinium38039	calmodulin-dependent protein kinase activity
Symbiodinium27841	inorganic diphosphatase activity
Symbiodinium53910	Isochorismatase family
Symbiodinium9126	zinc-finger of a C2HC-type
Symbiodinium19993	methyltransferase
Symbiodinium469	iron ion binding
Symbiodinium35764	DnaJ domain protein
Symbiodinium22819	tRNA dihydrouridine synthase activity
Symbiodinium29945	Multicopper oxidase
Symbiodinium32186	PFAM major intrinsic protein
Symbiodinium14711	Elongation factor 1 gamma, conserved domain
Symbiodinium28597	COG0491 Zn-dependent hydrolases, including glyoxylases
Symbiodinium49122	serine threonine protein kinase
Symbiodinium36617	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps
Symbiodinium29956	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium31386	nuclear retention of unspliced pre-mRNA at the site of transcription
Symbiodinium47477	Shwachman-Bodian-Diamond syndrome (SBDS) protein
Symbiodinium27054	photosynthesis
Symbiodinium26514	Belongs to the glycosyl hydrolase 7 (cellulase C) family
Symbiodinium40115	palmitoyl-(protein) hydrolase activity
Symbiodinium53393	Phosphoadenosine phosphosulfate reductase
Symbiodinium42982	protein folding
Symbiodinium51932	microtubule motor activity
Symbiodinium35448	Belongs to the protein kinase superfamily
Symbiodinium27426	60S ribosomal protein L23a. Source PGD
Symbiodinium46409	oxidoreductase activity
Symbiodinium6302	-
Symbiodinium22992	Wu fj29h11
Symbiodinium32067	Belongs to the fatty acid desaturase type 1 family
Symbiodinium56840	Guanylate-binding protein, C-terminal domain
Symbiodinium36567	esterase
Symbiodinium33147	Modified RING finger domain
Symbiodinium21058	Lipase maturation factor
Symbiodinium15016	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Symbiodinium34971	Belongs to the small GTPase superfamily. Arf family
Symbiodinium24020	Sulphur transport
Symbiodinium7992	PFAM Aspartate ornithine carbamoyltransferase, carbamoyl-P binding
Symbiodinium35452	-
Symbiodinium50739	N-terminal conserved domain of Nudc.
Symbiodinium14109	Belongs to the protein kinase superfamily
Symbiodinium24796	Prolyl oligopeptidase, N-terminal beta-propeller domain
Symbiodinium54225	dnaJ homolog subfamily C member 30-like
Symbiodinium16175	Poly(A) polymerase central domain
Symbiodinium42217	protein kinase activity
Symbiodinium51764	protein disulfide oxidoreductase activity
Symbiodinium28242	YGGT family
Symbiodinium12224	2Fe-2S iron-sulfur cluster binding domain
Symbiodinium9880	Scd6-like Sm domain
Symbiodinium29114	Chlorophyll A-B binding protein
Symbiodinium53555	Uncharacterised protein family (UPF0014)
Symbiodinium42010	polyketide synthase
Symbiodinium16524	lysine N-methyltransferase activity
Symbiodinium49372	heat shock protein 70
Symbiodinium45173	dihydrokaempferol 4-reductase activity
Symbiodinium30589	Tetratricopeptide repeat
Symbiodinium51874	l-serine dehydratase
Symbiodinium9627	metallopeptidase MepB
Symbiodinium59732	Responsible for synthesis of pseudouridine from uracil
Symbiodinium32860	FKBP-type peptidyl-prolyl cis-trans isomerase
Symbiodinium19563	elongation factor Tu GTP binding domain-containing protein
Symbiodinium45356	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium24836	catechol O-methyltransferase activity
Symbiodinium40520	Centrosomal protein
Symbiodinium8282	Belongs to the PI3 PI4-kinase family
Symbiodinium20316	Chaperone protein dnaJ
Symbiodinium56429	Lysine methyltransferase
Symbiodinium48789	Vacuole morphology and inheritance protein
Symbiodinium22002	phosphopyruvate hydratase activity
Symbiodinium13303	ubiquitin-protein transferase activity
Symbiodinium9714	HCO3- transporter family
Symbiodinium11161	RNA-binding protein mei2 homologue
Symbiodinium43890	STIMATE family
Symbiodinium30987	inner dynein arm assembly
Symbiodinium20877	COG3145 Alkylated DNA repair protein
Symbiodinium8187	RWD domain-containing protein
Symbiodinium55735	Coproporphyrinogen III oxidase
Symbiodinium26542	Cytochrome b5-like Heme/Steroid binding domain
Symbiodinium31132	Taurine catabolism dioxygenase TauD, TfdA family
Symbiodinium18924	E3 ubiquitin-protein ligase
Symbiodinium45428	dolichyl-phosphate beta-D-mannosyltransferase activity
Symbiodinium51993	phenanthrene-epoxide hydrolase activity
Symbiodinium19593	sphinganine-1-phosphate aldolase activity
Symbiodinium9807	Tubulin tyrosine ligase-like family, member 11
Symbiodinium38353	protein deglutamylation
Symbiodinium42359	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Symbiodinium8620	Pkinase-domain-containing protein
Symbiodinium30196	strand invasion
Symbiodinium66442	Non-ribosomal peptide synthetase modules and related proteins
Symbiodinium6875	ZIP Zinc transporter
Symbiodinium21751	otolith formation
Symbiodinium49655	Nucleotidyltransferase domain
Symbiodinium30755	FK506 binding
Symbiodinium14581	microtubule motor activity
Symbiodinium53469	Belongs to the protein kinase superfamily
Symbiodinium13005	pseudouridine 5'-phosphatase activity
Symbiodinium37631	insulin-degrading
Symbiodinium23481	DEAD DEAH box helicase domain-containing protein
Symbiodinium18795	3' exoribonuclease
Symbiodinium12507	ADP-D-ribose binding
Symbiodinium16049	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Symbiodinium21471	elongation factor 3
Symbiodinium43632	May play a role in vesicular transport from endoplasmic reticulum to Golgi
Symbiodinium11935	snRNP Sm proteins
Symbiodinium44187	COG0526, thiol-disulfide isomerase and thioredoxins
Symbiodinium40332	regulation of tocopherol cyclase activity
Symbiodinium33464	Uncharacterized conserved protein (DUF2183)
Symbiodinium27047	structural constituent of ribosome
Symbiodinium2255	pseudouridine synthase activity
Symbiodinium42526	Sodium glucose cotransporter. Source PGD
Symbiodinium34290	CEP19-like protein
Symbiodinium7835	Belongs to the thiolase family
Symbiodinium48716	aminoacyl-histidine dipeptidase
Symbiodinium50957	hypoxanthine salvage
Symbiodinium60090	Cyclin-dependent kinase 3
Symbiodinium53731	-
Symbiodinium38533	Alpha beta hydrolase domain-containing protein
Symbiodinium15404	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
Symbiodinium40130	Mitochondrial 18 KDa protein (MTP18)
Symbiodinium40704	UEV domain
Symbiodinium22069	Eukaryotic peptide chain release factor GTP-binding subunit
Symbiodinium51224	Glycosyl hydrolase family 3 N-terminal domain protein
Symbiodinium49565	protein serine/threonine kinase activity
Symbiodinium13418	ROK family
Symbiodinium16897	methyltransferase BMT2 homolog
Symbiodinium15191	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium40309	alpha-methylacyl-CoA racemase activity
Symbiodinium12158	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Symbiodinium39414	Belongs to the syntaxin family
Symbiodinium25824	sulfuric ester hydrolase activity
Symbiodinium54672	Alpha-kinase family
Symbiodinium54304	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Symbiodinium39126	Rhomboid-like protein
Symbiodinium42501	Camp-dependent protein kinase type
Symbiodinium55891	Methylates the 2'-O-ribose of nucleotides at positions 32 and 34 of the tRNA anticodon loop of substrate tRNAs
Symbiodinium9134	Belongs to the 14-3-3 family
Symbiodinium6052	THUMP
Symbiodinium12142	Belongs to the eukaryotic ribosomal protein eS6 family
Symbiodinium53086	acetyl-CoA transmembrane transporter activity
Symbiodinium23480	DNA mismatch repair protein
Symbiodinium53659	NAD(P)H-dependent FMN reductase
Symbiodinium10238	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner
Symbiodinium20374	ATP binding
Symbiodinium24620	RNA binding protein (contains ribosomal protein S1 domain)
Symbiodinium14425	tRNA dihydrouridine synthase activity
Symbiodinium30526	Belongs to the peptidase A1 family
Symbiodinium32755	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
Symbiodinium12748	structural constituent of ribosome
Symbiodinium39501	Uncharacterized ACR, COG1678
Symbiodinium33139	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Symbiodinium29961	Serine hydrolase involved in the detoxification of formaldehyde
Symbiodinium33793	MmgE PrpD family
Symbiodinium27642	1,3-beta-glucanosyltransferase. Source PGD
Symbiodinium44401	Acetyltransferase (GNAT) domain
Symbiodinium24845	Belongs to the DEAD box helicase family
